Arch Poly ID,ID,Area of SSN Coverage
3334,132,107.8287032
3329,133,134.6482164
3341,134,101.0247624
3347,135,79.93054815
3336,136,120.1427096
3355,139,24.91681827
3355,139,1.074207664
3338,140,107.7274983
1441,141,156.3815962
1442,141,155.4896796
1440,143,144.9161104
1427,145,108.2846862
1425,146,101.5044371
1426,146,79.40499162
1423,146,76.08577788
1424,146,79.54417939
1437,147,70.08079501
1438,147,159.4883306
1422,148,114.9815291
1421,148,109.1467537
1417,149,170.0362257
1416,149,152.7692026
1420,150,56.81150477
1419,150,63.58366818
1418,150,110.4929674
1449,151,79.6111957
1448,151,86.82228539
1447,151,72.14127778
1446,151,41.14790468
1455,152,117.9312134
1454,152,139.3212552
1453,152,104.3015541
1452,152,190.1398223
1451,152,70.35140564
1415,153,65.95029341
1457,154,103.163521
1458,154,72.3297796
1456,154,108.892138
1444,155,72.83160416
1443,155,148.6635378
1445,156,76.61089566
1461,157,122.4734694
1460,157,146.7095777
1459,158,114.7797136
1450,158,63.43605349
1430,159,183.4687417
1432,159,114.0483055
1431,159,58.16300978
1436,160,168.8725338
1435,160,88.01298116
1434,160,118.6178425
1433,160,155.2795677
1439,161,88.05200607
2008,165,509.9209038
2011,165,509.9209038
2014,165,509.9209038
2016,166,3.589054228
2007,166,677.7823084
1997,167,165.6813306
2011,167,1.288890406
2008,168,1945.011332
2014,168,1945.011332
2015,168,1945.011332
2016,168,1945.011332
2008,169,141.5831531
2011,169,141.5831531
2016,169,141.5831531
2006,170,31.76846246
2005,170,37.8896376
2003,170,0.314353652
2004,170,42.65775117
2008,171,1599.424229
2009,171,1599.424229
2013,171,1599.424229
2014,171,1599.424229
2015,171,1599.424229
2009,172,399.1240044
2014,172,399.1240044
2003,173,381.6981797
2009,174,625.288684
2010,174,625.288684
2012,174,625.288684
1997,175,43.35917982
2008,175,809.3594266
2011,175,809.3594266
2012,175,809.3594266
1997,176,447.744589
2007,178,0.088103848
2002,178,60.29665575
1993,179,406.7763341
1992,180,53.43106289
1991,180,75.17473184
1988,181,82.63160686
1987,181,68.52100016
1990,181,84.98160182
1989,181,74.48962851
1986,182,734.8908684
1984,183,193.5210368
1985,184,109.1349162
1983,185,93.17109479
2020,186,100.8061914
2001,187,110.1171704
2000,187,112.7342675
1960,188,155.9549277
1959,188,110.0206379
1958,188,169.1136905
1957,188,145.4979792
1998,189,131.8404226
1999,189,109.1084177
1979,190,106.9094305
1980,190,132.5536627
1981,191,819.5425802
1974,192,0.413592782
1978,192,614.6949474
1978,193,3.897274493
1982,193,437.5908609
1981,193,39.31213493
1961,195,646.7515457
1973,196,364.7163546
1974,197,210.7150903
1972,198,0.661753189
1973,198,9.696837623
1975,198,318.1476304
1974,198,6.22438905
1972,199,558.2277465
1973,199,558.2277465
1969,200,415.6712187
1967,201,17.47575751
1968,201,533.6324911
1969,201,533.6324911
2018,202,2.205068496
1967,202,691.8512905
2018,203,428.009161
2691,204,1.457213296
2018,204,9.527182453
1966,204,52.31882271
2690,205,66.71494293
2689,205,50.80080108
2017,205,822.9317779
2689,206,20.96627833
1965,206,239.1269918
1963,207,70.99162353
1965,208,0.876045711
1964,208,75.8784073
2085,209,16.00041586
2086,209,28.52208925
2086,209,2.414057227
1962,209,43.44058851
1971,210,55.75490557
1970,211,55.24249104
1977,211,76.88981811
1976,211,56.10976884
2019,212,254.506611
2706,213,94.80165157
2707,216,50.9510395
2777,217,24.52044208
2772,218,3208.662387
2775,219,3808.114514
2777,220,47.05634815
2776,220,1340.033536
2776,221,0.865819729
2777,221,1150.635377
2779,222,8.245866329
2763,222,83.79949325
2764,222,98.03295331
2779,223,781.8915356
2762,224,69.02816296
2781,225,2098.251927
2783,226,1345.825963
2782,227,862.9006538
2780,228,830.9784794
2778,229,1044.522687
2699,230,101.5741647
2701,231,79.20413646
2724,232,0.299344914
2705,232,42.51386132
2724,233,527.0588265
