"","ID","observation","code"
"409",103,"MCTLFNC2",-1
"410",103,"OXTOFNC2",-1
"411",103,"PMICFNC2",-1
"412",103,"XLMEFNC2",-1
"413",104,"MCTLFNC2",-1
"414",104,"OXTOFNC2",-1
"415",104,"PMICFNC2",-1
"416",104,"XLMEFNC2",-1
"417",105,"MCTLFNC2",-1
"418",105,"OXTOFNC2",-1
"419",105,"PMICFNC2",-1
"420",105,"XLMEFNC2",-1
"421",106,"MCTLFNC2",-1
"422",106,"OXTOFNC2",-1
"423",106,"PMICFNC2",-1
"424",106,"XLMEFNC2",-1
"425",107,"MCTLFNC2",-1
"426",107,"OXTOFNC2",-1
"427",107,"PMICFNC2",-1
"428",107,"XLMEFNC2",-1
"429",108,"MCTLFNC2",77
"430",108,"OXTOFNC2",77
"431",108,"PMICFNC2",77
"432",108,"XLMEFNC2",77
"433",109,"MCTLFNC2",77
"434",109,"OXTOFNC2",77
"435",109,"PMICFNC2",77
"436",109,"XLMEFNC2",77
"437",110,"MCTLFNC2",77
"438",110,"OXTOFNC2",-1
"439",110,"PMICFNC2",1
"440",110,"XLMEFNC2",77
"441",111,"MCTLFNC2",77
"442",111,"OXTOFNC2",77
"443",111,"PMICFNC2",77
"444",111,"XLMEFNC2",77
"445",112,"MCTLFNC2",77
"446",112,"OXTOFNC2",77
"447",112,"PMICFNC2",-1
"448",112,"XLMEFNC2",77
"449",113,"MCTLFNC2",77
"450",113,"OXTOFNC2",77
"451",113,"PMICFNC2",77
"452",113,"XLMEFNC2",77
"453",114,"MCTLFNC2",77
"454",114,"OXTOFNC2",77
"455",114,"PMICFNC2",77
"456",114,"XLMEFNC2",77
"457",115,"MCTLFNC2",77
"458",115,"OXTOFNC2",77
"459",115,"PMICFNC2",77
"460",115,"XLMEFNC2",77
"461",116,"MCTLFNC2",77
"462",116,"OXTOFNC2",77
"463",116,"PMICFNC2",77
"464",116,"XLMEFNC2",77
"465",117,"MCTLFNC2",77
"466",117,"OXTOFNC2",77
"467",117,"PMICFNC2",77
"468",117,"XLMEFNC2",77
"469",118,"MCTLFNC2",77
"470",118,"OXTOFNC2",77
"471",118,"PMICFNC2",77
"472",118,"XLMEFNC2",77
"473",119,"MCTLFNC2",77
"474",119,"OXTOFNC2",77
"475",119,"PMICFNC2",77
"476",119,"XLMEFNC2",77
"477",120,"MCTLFNC2",77
"478",120,"OXTOFNC2",77
"479",120,"PMICFNC2",7
"480",120,"XLMEFNC2",77
"481",121,"MCTLFNC2",77
"482",121,"OXTOFNC2",77
"483",121,"PMICFNC2",77
"484",121,"XLMEFNC2",77
"485",122,"MCTLFNC2",77
"486",122,"OXTOFNC2",77
"487",122,"PMICFNC2",77
"488",122,"XLMEFNC2",77
"489",123,"MCTLFNC2",-1
"490",123,"OXTOFNC2",77
"491",123,"PMICFNC2",77
"492",123,"XLMEFNC2",77
"493",124,"MCTLFNC2",77
"494",124,"OXTOFNC2",77
"495",124,"PMICFNC2",17
"496",124,"XLMEFNC2",77
"497",125,"MCTLFNC2",-1
"498",125,"OXTOFNC2",77
"499",125,"PMICFNC2",77
"500",125,"XLMEFNC2",77
"501",126,"MCTLFNC2",77
