"","ID","observation","code"
"504",126,"XLMEARC2",77
"505",127,"MCTLARC2",77
"506",127,"OXTOARC2",77
"507",127,"PMICARC2",-1
"508",127,"XLMEARC2",77
"509",128,"MCTLARC2",-1
"510",128,"OXTOARC2",77
"511",128,"PMICARC2",77
"512",128,"XLMEARC2",77
"513",129,"MCTLARC2",77
"514",129,"OXTOARC2",77
"515",129,"PMICARC2",77
"516",129,"XLMEARC2",77
"517",130,"MCTLARC2",77
"518",130,"OXTOARC2",-1
"519",130,"PMICARC2",77
"520",130,"XLMEARC2",77
"521",131,"MCTLARC2",77
"522",131,"OXTOARC2",77
"523",131,"PMICARC2",77
"524",131,"XLMEARC2",77
"525",132,"MCTLARC2",77
"526",132,"OXTOARC2",77
"527",132,"PMICARC2",77
"528",132,"XLMEARC2",77
"529",133,"MCTLARC2",-1
"530",133,"OXTOARC2",77
"531",133,"PMICARC2",77
"532",133,"XLMEARC2",77
"533",134,"MCTLARC2",77
"534",134,"OXTOARC2",77
"535",134,"PMICARC2",77
"536",134,"XLMEARC2",77
"537",135,"MCTLARC2",77
"538",135,"OXTOARC2",77
"539",135,"PMICARC2",-1
"540",135,"XLMEARC2",77
"541",136,"MCTLARC2",77
"542",136,"OXTOARC2",77
"543",136,"PMICARC2",77
"544",136,"XLMEARC2",77
"545",137,"MCTLARC2",77
"546",137,"OXTOARC2",77
"547",137,"PMICARC2",77
"548",137,"XLMEARC2",77
"549",138,"MCTLARC2",77
"550",138,"OXTOARC2",77
"551",138,"PMICARC2",77
"552",138,"XLMEARC2",77
"553",139,"MCTLARC2",-1
"554",139,"OXTOARC2",77
"555",139,"PMICARC2",-1
"556",139,"XLMEARC2",-1
"557",140,"MCTLARC2",77
"558",140,"OXTOARC2",-1
"559",140,"PMICARC2",77
"560",140,"XLMEARC2",77
"561",141,"MCTLARC2",77
"562",141,"OXTOARC2",77
"563",141,"PMICARC2",77
"564",141,"XLMEARC2",77
"565",142,"MCTLARC2",77
"566",142,"OXTOARC2",77
"567",142,"PMICARC2",77
"568",142,"XLMEARC2",77
"569",143,"MCTLARC2",77
"570",143,"OXTOARC2",77
"571",143,"PMICARC2",77
"572",143,"XLMEARC2",77
"573",144,"MCTLARC2",77
"574",144,"OXTOARC2",77
"575",144,"PMICARC2",77
"576",144,"XLMEARC2",77
"577",145,"MCTLARC2",77
"578",145,"OXTOARC2",77
"579",145,"PMICARC2",77
"580",145,"XLMEARC2",77
"581",146,"MCTLARC2",77
"582",146,"OXTOARC2",77
"583",146,"PMICARC2",77
"584",146,"XLMEARC2",77
"585",147,"MCTLARC2",-1
"586",147,"OXTOARC2",77
"587",147,"PMICARC2",77
"588",147,"XLMEARC2",77
"589",148,"MCTLARC2",77
"590",148,"OXTOARC2",77
"591",148,"PMICARC2",77
