"ORD_A","ORD_F","archInterp","funcInterp","count","arch_total","arch_pct","func_total","func_pct","PairIndex","count_LC","arch_pct_LC","func_pct_LC","PairIndex_LC"
94,92,"platform with other structures on it","platform of probable religious significance",330,451,0.731707317073171,879,0.37542662116041,1.10713393823358,118,0.719512195121951,0.438661710037175,1.15817390515913
192,187,NA,NA,209,214,0.976635514018692,3128,0.0668158567774936,1.04345137079619,17,1,0.0373626373626374,1.03736263736264
184,132,"temple base (incl. platforms & multi-tiered platforms)","probably temple, hard to fit into any of the above categories",47,614,0.0765472312703583,50,0.94,1.01654723127036,23,0.0905511811023622,0.958333333333333,1.0488845144357
147,170,"probably not occupied or utilized in this period","uncultivated open area",3,6729,0.000445831475702185,3,1,1.0004458314757,NA,NA,NA,NA
185,161,"temple base (incl. platforms & multi-tiered platforms)","temple",18,614,0.0293159609120521,19,0.947368421052632,0.976684381964684,7,0.0275590551181102,0.875,0.90255905511811
81,73,"other","other",77,126,0.611111111111111,220,0.35,0.961111111111111,29,0.617021276595745,0.367088607594937,0.984109884190681
65,186,"occupation without durable structures",NA,812,1165,0.696995708154506,3128,0.259590792838875,0.956586500993381,237,0.736024844720497,0.520879120879121,1.25690396559962
7,21,"apartment compound","high status residence",501,4705,0.106482465462274,636,0.787735849056604,0.894218314518878,249,0.106546854942234,0.79047619047619,0.897023045418424
138,185,"probably not occupied or utilized in this period",NA,1875,6729,0.278644672313865,3128,0.599424552429668,0.878069224743533,135,0.181208053691275,0.296703296703297,0.477911350394572
179,8,"simple platform","altar",2,623,0.00321027287319422,3,0.666666666666667,0.669876939539861,1,0.00598802395209581,1,1.0059880239521
107,42,"plaza","market or part of a market",25,1218,0.0205254515599343,40,0.625,0.645525451559934,11,0.0253456221198157,0.6875,0.712845622119816
108,109,"plaza","possible ball court",15,1218,0.0123152709359606,24,0.625,0.637315270935961,5,0.0115207373271889,0.625,0.636520737327189
52,1,"no plausible alternative to the primary interpretation","\""civic\"" structure, but not a temple",39,14583,0.00267434684221354,62,0.629032258064516,0.63170660490673,17,0.0045822102425876,0.739130434782609,0.743712645025196
76,135,"occupation without durable structures","puesto",6,1165,0.00515021459227468,10,0.6,0.605150214592275,2,0.0062111801242236,0.5,0.506211180124224
35,77,"cave","other",16,31,0.516129032258065,220,0.0727272727272727,0.588856304985337,4,0.5,0.0506329113924051,0.550632911392405
53,87,"no plausible alternative to the primary interpretation","other type of workshop or craft production area",24,14583,0.00164575190290064,41,0.585365853658537,0.587011605561437,8,0.00215633423180593,0.533333333333333,0.535489667565139
