"archInterp1","archInterp2","funcInterp1","funcInterp2","count"
"access-way (alley, street, avenue, etc.)","casa humilde","street or avenue","low status residential, no obvious occupational specialization",1
"access-way (alley, street, avenue, etc.)","free-standing wall or segment of wall","street or avenue","wall or segment of a wall",3
"access-way (alley, street, avenue, etc.)","no plausible alternative to the primary interpretation","street or avenue","no plausible alternative to the pirmary interpretation",103
"access-way (alley, street, avenue, etc.)","no plausible alternative to the primary interpretation","street or avenue","obsidian workshop",2
"access-way (alley, street, avenue, etc.)","no plausible alternative to the primary interpretation","street or avenue","primary interpretation is the best assessment of a very ambiguous situation",9
"access-way (alley, street, avenue, etc.)","no plausible alternative to the primary interpretation","unoccupied, not clear if cultivated or not","no plausible alternative to the pirmary interpretation",1
"access-way (alley, street, avenue, etc.)","no plausible alternative to the primary interpretation",NA,"primary interpretation is the best assessment of a very ambiguous situation",3
"access-way (alley, street, avenue, etc.)","occupation without durable structures","street or avenue","market or part of a market",3
"access-way (alley, street, avenue, etc.)","occupation without durable structures","street or avenue","primary interpretation is the best assessment of a very ambiguous situation",8
"access-way (alley, street, avenue, etc.)","other","street or avenue","other",2
"access-way (alley, street, avenue, etc.)","plaza","street or avenue","plaza",18
"access-way (alley, street, avenue, etc.)","primary interpretation is the best assessment of a very ambiguous situation","plaza","primary interpretation is the best assessment of a very ambiguous situation",3
"access-way (alley, street, avenue, etc.)","primary interpretation is the best assessment of a very ambiguous situation","street or avenue","primary interpretation is the best assessment of a very ambiguous situation",26
"access-way (alley, street, avenue, etc.)","probably not occupied or utilized in this period","street or avenue","unoccupied, not clear if cultivated or not",2
"apartment compound","access-way (alley, street, avenue, etc.)","residence of uncertain status","street or avenue",2
"apartment compound","apartment compound","residence of uncertain status","no plausible alternative to the pirmary interpretation",2
"apartment compound","casa humilde","intermediate status residence","low status residential, no obvious occupational specialization",12
"apartment compound","casa humilde","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation",2
"apartment compound","casa humilde","obsidian workshop","residential workshop",2
"apartment compound","casa humilde","other type of workshop or craft production area","pottery workshop",2
"apartment compound","casa humilde","residence of uncertain status","low status residential, no obvious occupational specialization",2
"apartment compound","casa humilde","residence of uncertain status","no plausible alternative to the pirmary interpretation",2
"apartment compound","cemetery","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation",2
"apartment compound","cemetery","residence of uncertain status","cemetery",2
"apartment compound","no plausible alternative to the primary interpretation","\""civic\"" structure, but not a temple","high status residence",4
"apartment compound","no plausible alternative to the primary interpretation","high status residence","\""civic\"" structure, but not a temple",6
"apartment compound","no plausible alternative to the primary interpretation","high status residence","high status residence",2
"apartment compound","no plausible alternative to the primary interpretation","high status residence","intermediate status residence",34
"apartment compound","no plausible alternative to the primary interpretation","high status residence","no plausible alternative to the pirmary interpretation",382
"apartment compound","no plausible alternative to the primary interpretation","high status residence","primary interpretation is the best assessment of a very ambiguous situation",4
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","\""civic\"" structure, but not a temple",4
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","high status residence",34
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","no plausible alternative to the pirmary interpretation",2841
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","obsidian workshop",8
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","other",4
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","other type of workshop or craft production area",12
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","pottery workshop",10
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation",94
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","residential workshop",26
"apartment compound","no plausible alternative to the primary interpretation","low status residential, no obvious occupational specialization","no plausible alternative to the pirmary interpretation",3
"apartment compound","no plausible alternative to the primary interpretation","obsidian workshop","high status residence",4
"apartment compound","no plausible alternative to the primary interpretation","obsidian workshop","intermediate status residence",18
"apartment compound","no plausible alternative to the primary interpretation","obsidian workshop","no plausible alternative to the pirmary interpretation",16
"apartment compound","no plausible alternative to the primary interpretation","obsidian workshop","residential workshop",4
"apartment compound","no plausible alternative to the primary interpretation","other","obsidian workshop",2
"apartment compound","no plausible alternative to the primary interpretation","other","primary interpretation is the best assessment of a very ambiguous situation",2
"apartment compound","no plausible alternative to the primary interpretation","other type of workshop or craft production area","no plausible alternative to the pirmary interpretation",2
"apartment compound","no plausible alternative to the primary interpretation","pottery workshop","no plausible alternative to the pirmary interpretation",6
"apartment compound","no plausible alternative to the primary interpretation","pottery workshop","other type of workshop or craft production area",2
"apartment compound","no plausible alternative to the primary interpretation","residence of uncertain status","no plausible alternative to the pirmary interpretation",47
"apartment compound","no plausible alternative to the primary interpretation","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",4
"apartment compound","no plausible alternative to the primary interpretation","residential workshop","intermediate status residence",48
"apartment compound","no plausible alternative to the primary interpretation","residential workshop","no plausible alternative to the pirmary interpretation",38
"apartment compound","no plausible alternative to the primary interpretation","residential workshop","obsidian workshop",34
"apartment compound","no plausible alternative to the primary interpretation","residential workshop","other type of workshop or craft production area",2
"apartment compound","no plausible alternative to the primary interpretation","residential workshop","primary interpretation is the best assessment of a very ambiguous situation",4
"apartment compound","no plausible alternative to the primary interpretation",NA,"no plausible alternative to the pirmary interpretation",4
"apartment compound","no plausible alternative to the primary interpretation",NA,"primary interpretation is the best assessment of a very ambiguous situation",14
"apartment compound","occupation without durable structures","intermediate status residence","obsidian workshop",2
"apartment compound","other","high status residence","no plausible alternative to the pirmary interpretation",2
"apartment compound","platform with other structures on it","high status residence","no plausible alternative to the pirmary interpretation",2
"apartment compound","platform with other structures on it","high status residence","other",4
"apartment compound","platform with other structures on it","high status residence","platform of probable religious significance",2
"apartment compound","platform with other structures on it","intermediate status residence","platform of probable religious significance",2
"apartment compound","platform with other structures on it","intermediate status residence","probably temple, hard to fit into any of the above categories",2
"apartment compound","platform with other structures on it","residence of uncertain status","platform of probable religious significance",2
"apartment compound","platform with other structures on it","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",2
"apartment compound","platform with other structures on it","residence of uncertain status","temple platform",2
"apartment compound","plaza","intermediate status residence","plaza",4
"apartment compound","plaza","residence of uncertain status","plaza",10
"apartment compound","plaza",NA,"primary interpretation is the best assessment of a very ambiguous situation",2
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","high status residence","intermediate status residence",8
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","high status residence","no plausible alternative to the pirmary interpretation",6
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","high status residence","primary interpretation is the best assessment of a very ambiguous situation",29
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","intermediate status residence","high status residence",8
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","intermediate status residence","no plausible alternative to the pirmary interpretation",91
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation",469
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","intermediate status residence","residential workshop",5
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","low status residential, no obvious occupational specialization","primary interpretation is the best assessment of a very ambiguous situation",2
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","obsidian workshop","no plausible alternative to the pirmary interpretation",2
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","obsidian workshop","primary interpretation is the best assessment of a very ambiguous situation",1
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","obsidian workshop","residence of uncertain status",2
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","other","\""civic\"" structure, but not a temple",2
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","other","primary interpretation is the best assessment of a very ambiguous situation",2
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","other type of workshop or craft production area","residence of uncertain status",4
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","no plausible alternative to the pirmary interpretation",4
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","obsidian workshop",4
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",118
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation","residential workshop","obsidian workshop",2
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation",NA,"primary interpretation is the best assessment of a very ambiguous situation",34
"apartment compound","probably not occupied or utilized in this period","intermediate status residence","unoccupied, not clear if cultivated or not",5
"apartment compound","probably not occupied or utilized in this period","residence of uncertain status","unoccupied, not clear if cultivated or not",1
"apartment compound","room group","intermediate status residence","no plausible alternative to the pirmary interpretation",4
"apartment compound","room group","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation",4
"apartment compound","room group","residence of uncertain status","obsidian workshop",2
"apartment compound","room group","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",6
"apartment compound","simple platform","intermediate status residence","platform of probable religious significance",2
"apartment compound","simple platform","residence of uncertain status","platform of probable religious significance",4
"apartment compound","simple platform","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",2
"apartment compound","temple base (incl. platforms & multi-tiered platforms)","intermediate status residence","probably temple, hard to fit into any of the above categories",2
"apartment compound","temple base (incl. platforms & multi-tiered platforms)","intermediate status residence","temple platform",2
"apartment compound","temple base (incl. platforms & multi-tiered platforms)","residence of uncertain status","temple",8
"apartment compound","temple base (incl. platforms & multi-tiered platforms)","residence of uncertain status","temple platform",4
"avenue divider or possible avenue divider","no plausible alternative to the primary interpretation","avenue divider","no plausible alternative to the pirmary interpretation",15
"avenue divider or possible avenue divider","primary interpretation is the best assessment of a very ambiguous situation","avenue divider","primary interpretation is the best assessment of a very ambiguous situation",6
"casa humilde","access-way (alley, street, avenue, etc.)","low status residential, no obvious occupational specialization","street or avenue",1
"casa humilde","apartment compound","low status residential, no obvious occupational specialization","no plausible alternative to the pirmary interpretation",2
"casa humilde","apartment compound","low status residential, no obvious occupational specialization","residence of uncertain status",2
"casa humilde","apartment compound","obsidian workshop","no plausible alternative to the pirmary interpretation",2
"casa humilde","apartment compound","obsidian workshop","residential workshop",2
"casa humilde","apartment compound","residence of uncertain status","no plausible alternative to the pirmary interpretation",2
"casa humilde","avenue divider or possible avenue divider","low status residential, no obvious occupational specialization","avenue divider",3
"casa humilde","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the pirmary interpretation",6
"casa humilde","cemetery","market or part of a market","primary interpretation is the best assessment of a very ambiguous situation",3
"casa humilde","no plausible alternative to the primary interpretation","cultivated field","no plausible alternative to the pirmary interpretation",1
"casa humilde","no plausible alternative to the primary interpretation","intermediate status residence","no plausible alternative to the pirmary interpretation",6
"casa humilde","no plausible alternative to the primary interpretation","low status residential, no obvious occupational specialization","\""civic\"" structure, but not a temple",1
"casa humilde","no plausible alternative to the primary interpretation","low status residential, no obvious occupational specialization","no plausible alternative to the pirmary interpretation",1813
"casa humilde","no plausible alternative to the primary interpretation","low status residential, no obvious occupational specialization","obsidian workshop",8
"casa humilde","no plausible alternative to the primary interpretation","low status residential, no obvious occupational specialization","primary interpretation is the best assessment of a very ambiguous situation",57
"casa humilde","no plausible alternative to the primary interpretation","low status residential, no obvious occupational specialization","residential workshop",2
"casa humilde","no plausible alternative to the primary interpretation","low status residential, no obvious occupational specialization","temple platform",1
"casa humilde","no plausible alternative to the primary interpretation","market or part of a market","no plausible alternative to the pirmary interpretation",3
"casa humilde","no plausible alternative to the primary interpretation","obsidian workshop","low status residential, no obvious occupational specialization",3
"casa humilde","no plausible alternative to the primary interpretation","obsidian workshop","no plausible alternative to the pirmary interpretation",10
"casa humilde","no plausible alternative to the primary interpretation","other type of workshop or craft production area","primary interpretation is the best assessment of a very ambiguous situation",3
"casa humilde","no plausible alternative to the primary interpretation","residence of uncertain status","no plausible alternative to the pirmary interpretation",19
"casa humilde","no plausible alternative to the primary interpretation","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",2
"casa humilde","no plausible alternative to the primary interpretation","unoccupied, not clear if cultivated or not","no plausible alternative to the pirmary interpretation",1
"casa humilde","no plausible alternative to the primary interpretation",NA,"no plausible alternative to the pirmary interpretation",1
"casa humilde","no plausible alternative to the primary interpretation",NA,"primary interpretation is the best assessment of a very ambiguous situation",9
"casa humilde","occupation without durable structures","low status residential, no obvious occupational specialization","no plausible alternative to the pirmary interpretation",1
"casa humilde","occupation without durable structures","low status residential, no obvious occupational specialization","obsidian workshop",2
"casa humilde","occupation without durable structures","low status residential, no obvious occupational specialization","primary interpretation is the best assessment of a very ambiguous situation",3
"casa humilde","occupation without durable structures","residential workshop","obsidian workshop",2
"casa humilde","occupation without durable structures",NA,"cultivated field",6
"casa humilde","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation",1
"casa humilde","other","wall or segment of a wall","other",2
"casa humilde","plaza","low status residential, no obvious occupational specialization","obsidian workshop",2
"casa humilde","plaza","low status residential, no obvious occupational specialization","plaza",13
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation","cultivated field","primary interpretation is the best assessment of a very ambiguous situation",1
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation","intermediate status residence","no plausible alternative to the pirmary interpretation",1
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation",1
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation","low status residential, no obvious occupational specialization","no plausible alternative to the pirmary interpretation",13
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation","low status residential, no obvious occupational specialization","obsidian workshop",3
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation","low status residential, no obvious occupational specialization","other",2
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation","low status residential, no obvious occupational specialization","primary interpretation is the best assessment of a very ambiguous situation",83
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","no plausible alternative to the pirmary interpretation",1
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",18
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation",4
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation",NA,"no plausible alternative to the pirmary interpretation",1
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation",NA,"primary interpretation is the best assessment of a very ambiguous situation",23
"casa humilde","probably not occupied or utilized in this period","low status residential, no obvious occupational specialization","\""civic\"" structure, but not a temple",1
"casa humilde","probably not occupied or utilized in this period","low status residential, no obvious occupational specialization","primary interpretation is the best assessment of a very ambiguous situation",2
"casa humilde","probably not occupied or utilized in this period","low status residential, no obvious occupational specialization","unoccupied, not clear if cultivated or not",34
"casa humilde","probably not occupied or utilized in this period","obsidian workshop","unoccupied, not clear if cultivated or not",1
"casa humilde","probably not occupied or utilized in this period","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",1
"casa humilde","probably not occupied or utilized in this period","residence of uncertain status","unoccupied, not clear if cultivated or not",4
"casa humilde","room group","low status residential, no obvious occupational specialization","no plausible alternative to the pirmary interpretation",3
"casa humilde","room group","low status residential, no obvious occupational specialization","residence of uncertain status",2
"casa humilde","room group","residence of uncertain status","no plausible alternative to the pirmary interpretation",2
"casa humilde","room group","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",1
"casa humilde","room group",NA,"primary interpretation is the best assessment of a very ambiguous situation",1
"cave","no plausible alternative to the primary interpretation","other","no plausible alternative to the pirmary interpretation",8
"cave","no plausible alternative to the primary interpretation","other","primary interpretation is the best assessment of a very ambiguous situation",4
"cave","no plausible alternative to the primary interpretation",NA,"primary interpretation is the best assessment of a very ambiguous situation",8
"cave","primary interpretation is the best assessment of a very ambiguous situation","other","primary interpretation is the best assessment of a very ambiguous situation",4
"cave","primary interpretation is the best assessment of a very ambiguous situation",NA,"primary interpretation is the best assessment of a very ambiguous situation",4
"cemetery","no plausible alternative to the primary interpretation","cemetery","no plausible alternative to the pirmary interpretation",18
"cemetery","plaza","street or avenue","plaza",1
"cemetery","primary interpretation is the best assessment of a very ambiguous situation","cemetery","primary interpretation is the best assessment of a very ambiguous situation",6
"cemetery","primary interpretation is the best assessment of a very ambiguous situation","market or part of a market","primary interpretation is the best assessment of a very ambiguous situation",3
"cemetery","primary interpretation is the best assessment of a very ambiguous situation","obsidian workshop","cemetery",3
"cemetery","primary interpretation is the best assessment of a very ambiguous situation","obsidian workshop","no plausible alternative to the pirmary interpretation",3
