"","DF8_VAR_ID","DF8_Variable","In_Structure","populated","In_Form","DF9_Table","DF9_Variable","DF9_Codes_Table","DF9_Comments","DF9_PROBLEM","DF10_Variable","DF10_Table","DF10_Removed","DF10_Aggregated","DF10_Renamed","DF10_New","DF10_Comments"
"248",248,"TLAMCOML",TRUE,TRUE,TRUE,"cerVessel","comalTlam","-1","-1",FALSE,"comalTlam","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"249",249,"XOLACOML",TRUE,TRUE,TRUE,"cerVessel","comalXola","-1","-1",FALSE,"comalXola","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"250",250,"METECOML",TRUE,TRUE,TRUE,"cerVessel","comalMete","-1","-1",FALSE,"comalMete","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"251",251,"OXTOCOML",TRUE,TRUE,TRUE,"cerVessel","comalOxto","-1","-1",FALSE,"comalOxto","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"252",252,"POXTCOML",TRUE,TRUE,TRUE,"cerVessel","comalPOxt","-1","-1",FALSE,"comalPOxt","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"253",253,"NUBBTOTS",TRUE,TRUE,TRUE,"cerVessel","nubbinTot","-1","-1",FALSE,"nubbinTot","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"254",254,"PATLNUBB",TRUE,TRUE,TRUE,"cerVessel","nubbinPatl","-1","-1",FALSE,"nubbinPatl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"255",255,"APTENUBB",TRUE,TRUE,TRUE,"cerVessel","nubbinApet","-1","-1",FALSE,"nubbinApet","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"256",256,"INSTNUBB",TRUE,TRUE,TRUE,"cerVessel","nubbinInset","-1","-1",FALSE,"nubbinInset","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"257",257,"FLSMNUBB",TRUE,TRUE,TRUE,"cerVessel","nubbinFlush","-1","-1",FALSE,"nubbinFlush","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"258",258,"ATOYNUBB",TRUE,TRUE,TRUE,"cerVessel","nubbinAtoy","-1","-1",FALSE,"nubbinAtoy","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"259",259,"XOLANUBB",TRUE,TRUE,TRUE,"cerVessel","nubbinXola","-1","-1",FALSE,"nubbinXola","-1",FALSE,FALSE,FALSE,FALSE,"-1"
